id,company,title,season,season_inferred,seasons,program,remote,category,location,sponsorship,h1b_approvals,salary,skills,posted_at,posted_at_source,first_seen_at,url
workday:bcbsla:/job/Corporate---Baton-Rouge-LA/Healthcare-Price-and-Transparency-Data-Analyst-Intern_R11903,Louisiana Blue,Healthcare Price and Transparency Data Analyst Intern,Fall 2026,False,,Internship,,Data & ML/AI,"Corporate - Baton Rouge, LA",unknown,,,SQL; Tableau,2026-07-20T00:00:00Z,date_only,2026-08-07T10:45:44Z,https://bcbsla.wd1.myworkdayjobs.com/Generation_Blue/job/Corporate---Baton-Rouge-LA/Healthcare-Price-and-Transparency-Data-Analyst-Intern_R11903
workday:copart:/job/Dallas-TX---Headquarters/Software-Engineering-Intern_JR110079,Copart,Software Engineering Intern,Not stated,True,,Internship,,Software,"Dallas, TX - Headquarters",unknown,83,,Python; Java; TypeScript; JavaScript; SQL; LLMs; React; Next.js,2026-07-20T00:00:00Z,date_only,2026-07-27T06:47:27Z,https://copart.wd12.myworkdayjobs.com/copart/job/Dallas-TX---Headquarters/Software-Engineering-Intern_JR110079
ashby:deepgram:dc8693b5-72ce-4ca3-ab15-9c8434d35da1,Deepgram,Software Engineering- Internship (Fall 2026/Summer 2027),Summer 2027,False,Summer 2027; Fall 2026,Internship,yes,Software,USA | Remote,unknown,2,$55 – $65 per hour,LLMs,2026-07-17T16:00:27.132+00:00,exact,2026-07-17T17:19:36Z,https://jobs.ashbyhq.com/deepgram/dc8693b5-72ce-4ca3-ab15-9c8434d35da1
workday:intel:/job/US-Arizona-Phoenix/AI-Software-Engineering-Intern_JR0282641,Intel,AI Software Engineering Intern,Not stated,True,,Internship,,Data & ML/AI,"US, Arizona, Phoenix",unknown,4758,,Python; C++; PyTorch; TensorFlow; Computer Vision; CUDA,2026-07-17T00:00:00Z,date_only,2026-07-17T19:18:44Z,https://intel.wd1.myworkdayjobs.com/external/job/US-Arizona-Phoenix/AI-Software-Engineering-Intern_JR0282641
workday:moog:/job/Buffalo-NY/Intern--IT-Computer-Science---Data-Analytics_R-26-17145,Moog,"Intern, IT Computer Science - Data Analytics",Fall 2026,False,,Internship,,Data & ML/AI,"Buffalo, NY",unknown,2,,,2026-07-16T00:00:00Z,date_only,2026-07-16T15:47:55Z,https://moog.wd5.myworkdayjobs.com/moog_external_career_site/job/Buffalo-NY/Intern--IT-Computer-Science---Data-Analytics_R-26-17145
greenhouse:oldmissioncapital:7796180003,Old Mission Capital,Software Engineer – 2027 Internship Program (June Start),Summer 2027,False,,Internship,,Software,"Chicago, IL, United States",unknown,8,,Python; C++; TypeScript,2026-07-15T13:45:13-04:00,exact,2026-08-02T22:34:22Z,https://www.oldmissioncapital.com/careers/?gh_jid=7796180003
greenhouse:thetradedesk:5187605007,The Trade Desk,2027 North America Software Engineering Internship,Summer 2027,False,,Internship,,Software,Bellevue; Boulder; Denver; Irvine; New York; Seattle,unknown,43,,,2026-07-15T11:53:11-04:00,exact,2026-07-15T17:24:53Z,https://job-boards.greenhouse.io/thetradedesk/jobs/5187605007
workable:wallstreetquants:494E392FD3,WallStreetQuants,Quantitative Researcher - Internship,Not stated,True,,Internship,,Quant,"New York, New York, United States",unknown,,,Python; SQL; scikit-learn; Pandas,2026-07-15T00:00:00.000Z,date_only,2026-08-08T10:22:30Z,https://apply.workable.com/wallstreetquants/j/494E392FD3/
workable:wallstreetquants:8CB119E789,WallStreetQuants,Quantitative Trading Intern,Not stated,True,,Internship,,Quant,"Miami, Florida, United States",unknown,,,Python,2026-07-15T00:00:00.000Z,date_only,2026-08-08T10:22:30Z,https://apply.workable.com/wallstreetquants/j/8CB119E789/
workday:tencent:/job/US-California-Palo-Alto/Research-Intern---Video-World-Models--Research---ML-Systems-_R107752-1,Tencent,Research Intern – Video World Models (Research & ML Systems),Not stated,True,,Internship,,Data & ML/AI,US-California-Palo Alto,unknown,,$124.8k/yr,Python; PyTorch; LLMs; CUDA,2026-07-15T00:00:00Z,date_only,2026-07-16T07:39:11Z,https://tencent.wd1.myworkdayjobs.com/Tencent_Careers/job/US-California-Palo-Alto/Research-Intern---Video-World-Models--Research---ML-Systems-_R107752-1
